r1,r2,r3,r4,r5,r6,c1,c2,cost
330,2700.0,82000.0,220,270,390,4.7e-09,1.5e-09,4.79772995131671
22000.0,220,2700.0,22000.0,100,820,1e-08,6.8e-09,4.911676905148292
1000.0,68000.0,560,560,6800.0,390,6.8e-09,4.7e-08,0.9957497126947753
100,68000.0,820,12000.0,68000.0,680,1.5e-09,4.7e-08,0.9879223514864731
220,68000.0,180,18000.0,220,470,3.3e-08,2.2e-08,4.887000651996865
68000.0,10000.0,2700.0,47000.0,68000.0,22000.0,1e-09,6.8e-08,1.5111906282895404
6800.0,27000.0,680,5600.0,1500.0,6800.0,1e-09,3.3e-09,4.957557908115326
4700.0,5600.0,56000.0,33000.0,3300.0,1000.0,1e-08,3.3e-09,1.0304978354304772
56000.0,1800.0,3300.0,820,1200.0,390,2.2e-09,4.7e-08,2.781246296622001
1800.0,47000.0,18000.0,100,1500.0,820,2.2e-09,3.3e-08,2.5325095126714343
15000.0,33000.0,470,100,560,12000.0,1e-09,1e-08,2.558455463017826
100,560,4700.0,4700.0,270,180,3.3e-08,3.3e-08,0.9362296266089624
120,220,680,39000.0,100,47000.0,4.7e-09,4.7e-09,2.8350209856388973
3300.0,120,82000.0,3300.0,5600.0,2700.0,3.3e-08,2.2e-08,1.6141917277518756
6800.0,2700.0,12000.0,3300.0,2200.0,2200.0,2.2e-08,6.8e-09,2.1715801178893845
10000.0,1800.0,1200.0,47000.0,150,27000.0,3.3e-09,1.5e-09,3.621351378358669
270,680,1800.0,470,47000.0,1800.0,1e-09,2.2e-08,1.024076961168585
6800.0,470,390,27000.0,330,22000.0,2.2e-09,1e-09,4.247245525508518
18000.0,820,27000.0,15000.0,820,120,2.2e-08,4.7e-09,2.8397754038834626
560,270,82000.0,560,2200.0,22000.0,1.5e-08,2.2e-08,1.062865230554955
470,3300.0,2200.0,56000.0,390,18000.0,1.5e-09,1.5e-08,3.634801081925025
4700.0,39000.0,47000.0,220,18000.0,10000.0,3.3e-09,1.5e-09,2.755046540620272
33000.0,33000.0,47000.0,330,12000.0,100,6.8e-08,1.5e-09,0.5378336911176287
680,150,15000.0,27000.0,2200.0,82000.0,1e-08,6.8e-09,2.079402152375928
3900.0,390,680,330,1800.0,5600.0,1.5e-08,2.2e-08,2.498002915452379
2200.0,100,1800.0,12000.0,180,2700.0,2.2e-09,4.7e-09,4.598721928530795
22000.0,8200.0,12000.0,33000.0,330,27000.0,1.5e-09,4.7e-08,1.5747528804826412
56000.0,10000.0,8200.0,10000.0,1000.0,27000.0,3.3e-08,4.7e-08,1.3125552482596599
68000.0,120,820,1000.0,27000.0,270,2.2e-08,2.2e-08,0.7295331779605966
5600.0,2700.0,820,270,330,15000.0,6.8e-09,3.3e-08,1.5263552834713154
330,56000.0,12000.0,6800.0,1800.0,2200.0,4.7e-09,2.2e-08,0.968648229824978
6800.0,3300.0,5600.0,1000.0,56000.0,330,2.2e-08,3.3e-08,0.930165253498749
560,150,2700.0,330,33000.0,1500.0,3.3e-09,1e-08,1.77169799888007
120,3900.0,1500.0,180,6800.0,2200.0,2.2e-09,1e-08,0.8011314286396352
270,27000.0,82000.0,3900.0,1000.0,6800.0,4.7e-08,4.7e-09,0.7148141293136151
1200.0,270,33000.0,4700.0,3300.0,4700.0,3.3e-08,1.5e-08,2.611745276848652
100,5600.0,39000.0,33000.0,33000.0,8200.0,2.2e-09,3.3e-09,0.9550265765145083
120,1200.0,8200.0,5600.0,22000.0,560,6.8e-08,6.8e-09,0.9680578675333855
1000.0,5600.0,3300.0,8200.0,39000.0,270,2.2e-08,2.2e-08,0.9439301418045181
39000.0,390,150,1000.0,33000.0,2700.0,1.5e-08,1e-08,1.6935069716718238
