r1,r2,r3,r4,r5,r6,c1,c2,cost
56000.0,270,3300.0,12000.0,18000.0,220,6.8e-08,2.2e-08,0.9016072822705468
1000.0,10000.0,120,5600.0,120,3300.0,2.2e-09,4.7e-08,4.577453893028711
270,560,1000.0,180,470,15000.0,2.2e-09,1.5e-08,2.353982632789078
1000.0,2200.0,150,100,5600.0,12000.0,4.7e-08,1e-08,0.868414793728818
820,150,15000.0,120,2700.0,820,4.7e-08,1.5e-09,1.782741585223979
100,1500.0,820,18000.0,150,47000.0,6.8e-09,2.2e-09,4.913939656155092
270,1800.0,390,680,33000.0,68000.0,1e-08,1.5e-09,0.2598791637745335
18000.0,1200.0,4700.0,3300.0,390,560,1.5e-08,1.5e-08,4.537837564699671
120,1500.0,10000.0,4700.0,39000.0,120,2.2e-08,6.8e-08,0.9256956713582373
1500.0,8200.0,180,820,820,68000.0,1.5e-08,4.7e-08,2.218766718680916
180,39000.0,3300.0,3900.0,12000.0,180,1e-08,1e-09,2.678452371331299
47000.0,12000.0,27000.0,270,330,10000.0,2.2e-08,2.2e-08,1.0623437125089021
27000.0,120,680,39000.0,1500.0,4700.0,2.2e-08,1.5e-09,4.8983113702068755
3900.0,100,2700.0,1500.0,22000.0,15000.0,4.7e-08,6.8e-09,2.3244942180425583
12000.0,8200.0,120,3300.0,10000.0,15000.0,4.7e-08,2.2e-08,2.5433729810062986
39000.0,47000.0,4700.0,390,68000.0,27000.0,4.7e-08,2.2e-09,1.0138522595708745
5600.0,68000.0,15000.0,12000.0,470,820,1e-09,3.3e-09,4.778734196081436
3300.0,27000.0,10000.0,220,100,100,6.8e-08,3.3e-08,3.1796368567774893
3900.0,3900.0,39000.0,4700.0,27000.0,1200.0,1e-09,2.2e-09,2.700938032841251
15000.0,2200.0,5600.0,82000.0,4700.0,1200.0,1.5e-09,1e-08,4.747840626506367
47000.0,47000.0,82000.0,6800.0,150,3900.0,1.5e-09,1e-08,2.5404984183291925
6800.0,27000.0,100,15000.0,270,680,3.3e-09,6.8e-08,4.801699719670505
82000.0,27000.0,100,8200.0,390,56000.0,3.3e-09,1e-08,2.4101410483019006
47000.0,6800.0,18000.0,120,820,12000.0,3.3e-09,2.2e-09,1.1426359621959656
18000.0,100,2200.0,680,150,390,1e-09,6.8e-08,2.675821611963774
10000.0,6800.0,27000.0,2700.0,150,100,6.8e-09,1e-09,4.879307749300978
3300.0,120,1200.0,4700.0,82000.0,8200.0,3.3e-09,2.2e-08,2.5318435937698385
1500.0,3900.0,3900.0,100,4700.0,560,3.3e-09,1e-09,1.2947644620536813
180,6800.0,47000.0,2700.0,6800.0,8200.0,3.3e-08,1.5e-09,0.9416909696277466
3900.0,12000.0,150,18000.0,1500.0,39000.0,1e-09,3.3e-08,2.5048630902970195
2700.0,470,120,100,3300.0,15000.0,1.5e-09,1.5e-08,2.4183423468957943
18000.0,180,39000.0,390,12000.0,4700.0,6.8e-08,6.8e-09,1.1270868937927305
8200.0,3900.0,68000.0,2200.0,1800.0,18000.0,1e-08,2.2e-09,1.9331132803440965
560,3300.0,820,12000.0,82000.0,470,1e-08,4.7e-09,0.9444336571856059
220,5600.0,18000.0,180,10000.0,22000.0,1e-08,1.5e-09,1.432539703875983
100,470,3300.0,560,18000.0,33000.0,2.2e-09,2.2e-08,2.245622429214529
220,68000.0,2200.0,1200.0,3300.0,2700.0,6.8e-08,2.2e-09,0.9877828249540925
390,39000.0,6800.0,390,680,68000.0,3.3e-09,4.7e-08,2.7950822824874084
3300.0,3900.0,680,1200.0,120,270,1.5e-09,4.7e-09,4.998588810489677
180,12000.0,82000.0,1500.0,2700.0,1000.0,1e-09,3.3e-09,0.9393644697774287
8200.0,2200.0,8200.0,8200.0,56000.0,3900.0,6.8e-09,4.7e-09,0.6002449797681565
470,390,15000.0,27000.0,47000.0,47000.0,2.2e-08,4.7e-08,1.38182273737307
33000.0,68000.0,150,100,2700.0,18000.0,3.3e-09,4.7e-08,2.111911757735243
220,1200.0,33000.0,18000.0,3900.0,33000.0,6.8e-08,1.5e-09,0.05437460511928355
39000.0,330,68000.0,3900.0,27000.0,820,6.8e-08,1.5e-09,0.6765802321111174
8200.0,6800.0,220,2200.0,5600.0,27000.0,6.8e-08,3.3e-09,1.8923542142457555
5600.0,39000.0,22000.0,1500.0,2700.0,33000.0,6.8e-08,1e-09,0.9940619682637981
120,10000.0,560,18000.0,10000.0,12000.0,6.8e-09,1e-09,2.0227537786265266
22000.0,330,39000.0,680,180,390,4.7e-09,1e-09,4.21235782141544
390,2700.0,220,56000.0,3900.0,120,4.7e-09,6.8e-08,4.992155531381913
10000.0,2200.0,5600.0,82000.0,33000.0,39000.0,6.8e-09,3.3e-08,1.6773867131331757
1500.0,10000.0,3900.0,390,270,820,4.7e-08,1.5e-09,0.8552758249435488
27000.0,5600.0,680,470,22000.0,560,6.8e-09,4.7e-08,1.199851916254309
82000.0,390,220,15000.0,56000.0,470,4.7e-08,6.8e-09,0.9768273551235671
1000.0,220,82000.0,68000.0,47000.0,27000.0,1.5e-08,2.2e-09,0.9992992102103395
18000.0,680,12000.0,470,330,1500.0,1e-08,1e-09,3.6238263763616247
68000.0,820,330,470,27000.0,330,1e-09,6.8e-09,1.911953734487671
22000.0,470,18000.0,220,1500.0,5600.0,1.5e-09,6.8e-08,1.0600684364929558
5600.0,15000.0,3900.0,270,33000.0,47000.0,3.3e-08,6.8e-09,1.0102222850676368
220,5600.0,330,4700.0,82000.0,10000.0,4.7e-09,1.5e-09,0.9471956983150843
220,100,150,5600.0,39000.0,1800.0,4.7e-09,1e-09,3.885030459651719
1800.0,680,220,6800.0,3900.0,390,2.2e-09,4.7e-08,4.624959774692262
2700.0,56000.0,39000.0,220,47000.0,1800.0,1e-08,4.7e-08,0.9997574687295854
82000.0,820,100,27000.0,120,1500.0,1.5e-08,1.5e-09,4.987780956615244
2200.0,820,4700.0,6800.0,4700.0,330,1e-08,4.7e-09,0.9987533323518073
1800.0,12000.0,820,22000.0,680,270,6.8e-08,2.2e-09,4.846749353254225
270,22000.0,100,6800.0,82000.0,2700.0,6.8e-09,2.2e-08,0.9459702640174737
220,680,27000.0,22000.0,220,3900.0,3.3e-09,2.2e-09,4.983820470196465
33000.0,4700.0,120,22000.0,120,470,2.2e-09,3.3e-08,4.611099445605901
5600.0,39000.0,22000.0,100,4700.0,47000.0,1e-08,6.8e-09,1.104412533509379
6800.0,270,1800.0,39000.0,15000.0,330,1e-09,3.3e-09,4.977405858670581
120,470,470,1800.0,100,18000.0,2.2e-09,6.8e-09,3.7730307878286977
22000.0,10000.0,100,68000.0,330,220,4.7e-09,4.7e-09,4.998760051506218
1500.0,22000.0,10000.0,68000.0,3300.0,1000.0,1e-09,4.7e-08,3.096445384363978
10000.0,680,220,390,8200.0,12000.0,1.5e-08,4.7e-08,1.9988823925457333
2700.0,1000.0,680,1500.0,82000.0,1200.0,1.5e-09,6.8e-08,2.5513951306984044
15000.0,1200.0,270,47000.0,390,100,6.8e-09,3.3e-08,4.977124783925716
33000.0,1500.0,1500.0,8200.0,180,12000.0,3.3e-09,1e-08,2.621230652586922
8200.0,560,470,12000.0,1500.0,18000.0,1.5e-09,2.2e-09,3.512727464852746
18000.0,820,1200.0,820,82000.0,33000.0,6.8e-09,3.3e-09,2.3371245904012823
1200.0,56000.0,68000.0,47000.0,1500.0,27000.0,1e-08,2.2e-09,1.0633587764520316
820,10000.0,39000.0,220,120,330,3.3e-09,2.2e-09,4.992138537373016
1200.0,1000.0,2700.0,8200.0,150,56000.0,6.8e-08,1e-09,3.587564091469558
47000.0,18000.0,12000.0,68000.0,6800.0,4700.0,1e-08,3.3e-08,2.628463479270675
470,18000.0,2200.0,820,22000.0,18000.0,3.3e-08,4.7e-09,0.9945522728038767
56000.0,39000.0,47000.0,22000.0,82000.0,1000.0,6.8e-08,3.3e-08,1.1455419851157016
390,220,68000.0,1500.0,5600.0,150,4.7e-08,4.7e-09,0.5785693092510216
27000.0,39000.0,100,3900.0,820,1000.0,3.3e-09,6.8e-08,3.8908172820228017
3900.0,56000.0,56000.0,680,100,680,2.2e-08,6.8e-08,2.5341442676400265
680,47000.0,470,680,2200.0,3900.0,1.5e-09,4.7e-09,1.0620537939157828
82000.0,8200.0,33000.0,2700.0,1200.0,680,3.3e-09,6.8e-09,3.1766806623334922
120,2700.0,2200.0,1800.0,2700.0,18000.0,6.8e-08,4.7e-09,0.6059770445858386
2200.0,560,1200.0,56000.0,39000.0,2700.0,1.5e-08,4.7e-09,3.1691396293900946
330,100,6800.0,330,1800.0,15000.0,2.2e-09,1e-08,1.2197312368786244
560,560,560,8200.0,2200.0,1800.0,1.5e-08,1.5e-08,4.7958925011586455
10000.0,270,56000.0,120,33000.0,390,2.2e-09,4.7e-09,2.042782150153171
39000.0,220,5600.0,120,180,100,1.5e-08,6.8e-08,2.5039011729360983
560,8200.0,180,1000.0,47000.0,47000.0,6.8e-08,3.3e-09,0.9743118527714397
18000.0,2200.0,47000.0,2700.0,39000.0,1000.0,1.5e-08,2.2e-08,2.827863767503585
39000.0,5600.0,47000.0,4700.0,12000.0,10000.0,1e-07,2.2e-08,1.1254490096184477
15000.0,4700.0,3300.0,15000.0,5600.0,22000.0,1e-07,4.7e-08,2.007978254796876
10000.0,33000.0,1800.0,1000.0,22000.0,8200.0,4.7e-08,6.8e-08,1.4816413081867608
39000.0,39000.0,5600.0,5600.0,1800.0,18000.0,1e-08,2.2e-08,2.455894168245779
4700.0,47000.0,6800.0,4700.0,4700.0,47000.0,6.8e-08,6.8e-08,1.2841130790528628
5600.0,3300.0,2200.0,22000.0,3900.0,1200.0,1e-07,1e-07,2.4528263451547567
39000.0,10000.0,6800.0,2200.0,1000.0,47000.0,3.3e-08,2.2e-08,1.1514772736535477
4700.0,12000.0,10000.0,10000.0,1200.0,33000.0,6.8e-08,4.7e-08,2.1451551422319626
3300.0,6800.0,3900.0,27000.0,47000.0,18000.0,6.8e-08,2.2e-08,1.432718099699191
22000.0,5600.0,2700.0,27000.0,2700.0,5600.0,1e-08,3.3e-08,2.5908813751322834
2200.0,4700.0,27000.0,2700.0,6800.0,47000.0,1e-08,1.5e-08,1.287958911464052
8200.0,3900.0,5600.0,12000.0,6800.0,8200.0,2.2e-08,4.7e-08,2.539405401838289
5600.0,15000.0,1800.0,18000.0,1200.0,47000.0,4.7e-08,4.7e-08,2.152857537848878
39000.0,1500.0,18000.0,3300.0,22000.0,1800.0,1e-07,6.8e-08,1.313923140270652
10000.0,22000.0,5600.0,12000.0,1200.0,2200.0,1.5e-08,1.5e-08,3.8460962977095723
6800.0,12000.0,33000.0,15000.0,2200.0,6800.0,1e-07,6.8e-08,3.293037630013989
2700.0,1500.0,18000.0,6800.0,47000.0,2700.0,2.2e-08,6.8e-08,3.4364289102426224
1200.0,1000.0,15000.0,4700.0,3300.0,2700.0,4.7e-08,1e-07,2.7475479465859847
2700.0,18000.0,1500.0,2200.0,39000.0,12000.0,6.8e-08,3.3e-08,1.9016042065113852
10000.0,12000.0,18000.0,10000.0,1000.0,1200.0,4.7e-08,1.5e-08,1.9797738598119001
8200.0,1000.0,6800.0,22000.0,3300.0,1000.0,6.8e-08,1e-08,2.773307744777339
47000.0,3900.0,3900.0,8200.0,5600.0,2200.0,1e-08,3.3e-08,2.727199394176234
22000.0,33000.0,5600.0,2700.0,1500.0,1200.0,2.2e-08,2.2e-08,2.0699475193560257
15000.0,22000.0,39000.0,22000.0,6800.0,12000.0,6.8e-08,1.5e-08,1.7955051520093406
6800.0,18000.0,8200.0,3300.0,2700.0,10000.0,1e-08,1.5e-08,2.5287715257012384
3900.0,2200.0,3300.0,1000.0,33000.0,22000.0,1.5e-08,1e-08,3.357916826075506
8200.0,47000.0,1200.0,10000.0,47000.0,4700.0,1e-07,4.7e-08,0.9894993607234912
39000.0,1200.0,39000.0,1200.0,1800.0,47000.0,1e-07,1e-08,1.0889510420132258
1200.0,1800.0,12000.0,15000.0,10000.0,1800.0,4.7e-08,2.2e-08,0.37556304155959475
18000.0,2200.0,3300.0,47000.0,1000.0,5600.0,3.3e-08,6.8e-08,2.4725321220819905
1800.0,22000.0,4700.0,39000.0,39000.0,2200.0,3.3e-08,1e-07,0.5529169080685593
1800.0,22000.0,39000.0,1800.0,5600.0,1800.0,1e-07,1e-08,1.0082081545019261
18000.0,3300.0,39000.0,3300.0,4700.0,22000.0,1.5e-08,2.2e-08,1.1061166029126608
12000.0,5600.0,2700.0,1200.0,27000.0,18000.0,1.5e-08,6.8e-08,1.258636869910054
18000.0,6800.0,3900.0,1000.0,1000.0,1500.0,1e-08,1e-07,2.300012948949754
33000.0,18000.0,2200.0,1500.0,22000.0,1500.0,6.8e-08,6.8e-08,1.5410189193537507
1800.0,4700.0,47000.0,3900.0,15000.0,5600.0,2.2e-08,3.3e-08,2.7126778673975616
1200.0,1800.0,2700.0,1200.0,5600.0,8200.0,1e-07,6.8e-08,2.7491821654547755
6800.0,12000.0,1800.0,1800.0,1200.0,1000.0,1e-07,1.5e-08,0.915012603693
47000.0,2700.0,6800.0,8200.0,15000.0,39000.0,2.2e-08,6.8e-08,1.1369592092607332
1500.0,8200.0,6800.0,2700.0,1800.0,10000.0,3.3e-08,3.3e-08,1.7653192567129405
4700.0,10000.0,18000.0,12000.0,47000.0,2700.0,1e-08,1.5e-08,0.14171868127951223
1200.0,2700.0,1800.0,12000.0,33000.0,18000.0,1e-07,4.7e-08,2.9196832193866458
15000.0,2700.0,39000.0,10000.0,8200.0,39000.0,1e-08,1e-07,1.0709772495691607
2200.0,18000.0,18000.0,1800.0,12000.0,15000.0,1e-08,1e-08,1.6319830229611278
4700.0,47000.0,6800.0,1000.0,22000.0,33000.0,6.8e-08,4.7e-08,0.999765615049208
3900.0,6800.0,22000.0,22000.0,39000.0,1800.0,3.3e-08,6.8e-08,1.133129827794803
3900.0,18000.0,8200.0,47000.0,10000.0,2200.0,1e-07,1e-07,0.5199054431084663
27000.0,39000.0,1200.0,1000.0,47000.0,2700.0,4.7e-08,1e-07,2.8118876492346807
18000.0,18000.0,2700.0,1500.0,18000.0,6800.0,1.5e-08,2.2e-08,1.974116823721375
4700.0,1200.0,22000.0,3900.0,27000.0,47000.0,3.3e-08,3.3e-08,1.054919480385569
3900.0,1500.0,15000.0,15000.0,33000.0,15000.0,1e-08,1e-07,1.35930175931159
18000.0,15000.0,6800.0,1800.0,18000.0,47000.0,1e-08,1e-08,1.8945067688409343
10000.0,12000.0,1200.0,27000.0,27000.0,1000.0,1e-07,1e-08,1.6112346468278629
39000.0,39000.0,47000.0,5600.0,22000.0,27000.0,1.5e-08,6.8e-08,1.0872466842985802
15000.0,6800.0,8200.0,1200.0,3900.0,15000.0,2.2e-08,4.7e-08,1.150763191047106
39000.0,39000.0,18000.0,8200.0,15000.0,1800.0,1e-08,1e-07,2.7182414114805318
3900.0,1000.0,6800.0,8200.0,47000.0,5600.0,4.7e-08,4.7e-08,3.378047235983952
8200.0,1800.0,1200.0,2700.0,18000.0,2200.0,1e-07,6.8e-08,1.6280386405921448
12000.0,1800.0,4700.0,39000.0,3300.0,3300.0,1e-08,1e-07,2.505135154857581
10000.0,3300.0,15000.0,3300.0,6800.0,1800.0,1e-07,3.3e-08,2.1093502131244555
1200.0,47000.0,33000.0,1800.0,15000.0,15000.0,6.8e-08,4.7e-08,0.9994197305818867
22000.0,2200.0,18000.0,1000.0,22000.0,1200.0,4.7e-08,3.3e-08,2.6931696059059247
33000.0,18000.0,22000.0,2700.0,33000.0,2700.0,6.8e-08,1e-07,1.015530934854011
2200.0,1800.0,10000.0,39000.0,39000.0,6800.0,4.7e-08,3.3e-08,1.4733554657005392
12000.0,39000.0,3900.0,4700.0,10000.0,6800.0,2.2e-08,3.3e-08,0.8200550280926204
2200.0,2200.0,12000.0,39000.0,22000.0,5600.0,1e-07,6.8e-08,2.1578411651943386
27000.0,6800.0,27000.0,47000.0,3300.0,3300.0,1.5e-08,4.7e-08,2.551798098584845
5600.0,8200.0,2200.0,47000.0,2700.0,22000.0,4.7e-08,6.8e-08,2.1774623816753746
47000.0,6800.0,1800.0,8200.0,27000.0,18000.0,4.7e-08,4.7e-08,2.349670621842195
12000.0,27000.0,5600.0,12000.0,1000.0,22000.0,1e-08,1e-08,2.7444717683500213
10000.0,2200.0,1200.0,1200.0,3300.0,4700.0,1e-07,1e-07,2.438121790063682
2700.0,5600.0,4700.0,2200.0,1200.0,5600.0,1.5e-08,1e-07,2.292785690783987
27000.0,1200.0,8200.0,15000.0,1800.0,39000.0,1e-07,6.8e-08,1.1345359617149198
27000.0,3900.0,47000.0,27000.0,10000.0,3900.0,4.7e-08,1e-07,2.4271631184902356
5600.0,1200.0,10000.0,10000.0,12000.0,6800.0,4.7e-08,1e-08,0.9704836939738883
1000.0,4700.0,3300.0,39000.0,15000.0,3900.0,6.8e-08,6.8e-08,0.2904445071672492
47000.0,8200.0,33000.0,27000.0,39000.0,3300.0,1e-07,6.8e-08,1.5122051378810912
3300.0,5600.0,15000.0,2700.0,1500.0,2700.0,1.5e-08,6.8e-08,2.45567835044614
22000.0,1800.0,10000.0,1200.0,12000.0,4700.0,4.7e-08,2.2e-08,2.743951444673728
2200.0,2700.0,33000.0,4700.0,1000.0,6800.0,3.3e-08,6.8e-08,1.4240166668236318
2200.0,1200.0,2200.0,6800.0,39000.0,1200.0,1e-07,6.8e-08,1.0304271311767492
39000.0,5600.0,18000.0,33000.0,27000.0,8200.0,1e-08,1e-07,1.8107030318295174
6800.0,22000.0,3900.0,2700.0,22000.0,1500.0,1e-07,4.7e-08,1.0221794615753306
2700.0,12000.0,27000.0,27000.0,10000.0,1500.0,2.2e-08,1.5e-08,0.7673165619569309
3300.0,6800.0,6800.0,8200.0,5600.0,3300.0,1e-07,4.7e-08,1.0412688453216372
22000.0,18000.0,27000.0,47000.0,1000.0,1800.0,6.8e-08,2.2e-08,2.6486674156883105
15000.0,3900.0,47000.0,39000.0,39000.0,3900.0,1e-08,6.8e-08,3.1263209470793116
6800.0,10000.0,1800.0,10000.0,4700.0,27000.0,6.8e-08,2.2e-08,2.6528413638368815
1000.0,22000.0,8200.0,22000.0,22000.0,15000.0,3.3e-08,1e-08,0.862429839095067
5600.0,47000.0,3300.0,6800.0,22000.0,1500.0,1e-08,1.5e-08,0.865948640366389
27000.0,27000.0,1000.0,47000.0,1500.0,3300.0,6.8e-08,6.8e-08,2.676606967864996
3300.0,12000.0,1800.0,3300.0,27000.0,12000.0,6.8e-08,1e-07,1.2887167929714953
1500.0,2200.0,1000.0,15000.0,6800.0,1200.0,1e-08,1e-08,2.3760778982830217
1200.0,2700.0,4700.0,27000.0,1500.0,33000.0,1e-07,1.5e-08,2.525066334635152
4700.0,12000.0,10000.0,15000.0,47000.0,10000.0,3.3e-08,2.2e-08,1.2177402519412575
1000.0,10000.0,1800.0,27000.0,1000.0,47000.0,6.8e-08,4.7e-08,2.5309513128952914
1500.0,33000.0,1200.0,1500.0,8200.0,22000.0,1e-08,2.2e-08,0.27724259854170186
5600.0,39000.0,1500.0,5600.0,15000.0,10000.0,3.3e-08,1e-07,1.4976765777529604
1000.0,18000.0,2700.0,27000.0,3900.0,2200.0,6.8e-08,3.3e-08,0.8543300093493457
27000.0,5600.0,47000.0,2200.0,5600.0,47000.0,2.2e-08,1e-08,1.0935784107243323
27000.0,27000.0,2200.0,1800.0,1200.0,1000.0,4.7e-08,4.7e-08,1.907956237720011
10000.0,27000.0,27000.0,1500.0,5600.0,3300.0,6.8e-08,6.8e-08,1.3818306696676859
8200.0,3300.0,12000.0,47000.0,22000.0,2200.0,1.5e-08,1.5e-08,1.080537740300833
3900.0,39000.0,4700.0,3300.0,1800.0,2700.0,6.8e-08,1e-07,0.7177954505185811
33000.0,1200.0,27000.0,15000.0,47000.0,27000.0,1e-08,2.2e-08,1.6059505917352428
1500.0,4700.0,1800.0,3300.0,33000.0,18000.0,2.2e-08,2.2e-08,1.4271485222562175
2200.0,47000.0,3900.0,1800.0,5600.0,39000.0,1e-08,1.5e-08,0.9945141668529418
6800.0,18000.0,15000.0,6800.0,39000.0,5600.0,6.8e-08,4.7e-08,1.0342502048915527
2200.0,33000.0,33000.0,8200.0,6800.0,12000.0,1.5e-08,1e-08,0.7666341737567548
6800.0,3900.0,3900.0,47000.0,12000.0,4700.0,1e-07,2.2e-08,1.1308763351211064
2200.0,6800.0,18000.0,15000.0,15000.0,8200.0,1e-07,2.2e-08,1.2569434705923204
18000.0,27000.0,1800.0,2700.0,47000.0,39000.0,1e-08,1e-07,1.264649497844421
4700.0,2200.0,27000.0,3300.0,4700.0,47000.0,1e-08,6.8e-08,1.0669329795022708
1500.0,1000.0,22000.0,47000.0,1000.0,33000.0,4.7e-08,3.3e-08,1.8274042575916531
33000.0,3300.0,1200.0,27000.0,4700.0,27000.0,4.7e-08,3.3e-08,1.9255155164113995
47000.0,2200.0,8200.0,10000.0,3900.0,33000.0,6.8e-08,1e-07,1.1100854032518856
5600.0,2200.0,15000.0,22000.0,22000.0,1500.0,3.3e-08,2.2e-08,0.33501544406478895
22000.0,1000.0,3900.0,39000.0,2700.0,22000.0,1.5e-08,3.3e-08,2.0095527637323736
2700.0,2700.0,33000.0,33000.0,2200.0,18000.0,2.2e-08,1e-08,2.5283504668525514
3900.0,18000.0,3900.0,1500.0,4700.0,8200.0,1.5e-08,1e-08,0.5005196677731155
3300.0,22000.0,8200.0,10000.0,18000.0,15000.0,1e-08,1e-08,0.1571468130695967
47000.0,6800.0,1800.0,22000.0,47000.0,4700.0,1e-07,6.8e-08,2.5752801209507243
4700.0,33000.0,27000.0,33000.0,2700.0,10000.0,6.8e-08,3.3e-08,0.7948099217996326
8200.0,33000.0,47000.0,1500.0,22000.0,4700.0,3.3e-08,1.5e-08,1.1050304063940588
22000.0,10000.0,8200.0,8200.0,18000.0,18000.0,4.7e-08,1e-08,2.126780356059893
22000.0,2200.0,15000.0,2700.0,3900.0,1500.0,4.7e-08,6.8e-08,2.6132768023631265
4700.0,3300.0,2200.0,2700.0,2700.0,8200.0,4.7e-08,6.8e-08,2.4022474716124584
1800.0,3900.0,12000.0,6800.0,1800.0,18000.0,6.8e-08,3.3e-08,3.013412325403253
18000.0,3300.0,33000.0,2700.0,47000.0,12000.0,1e-08,1.5e-08,1.3921643919628175
1200.0,2200.0,33000.0,33000.0,2700.0,2200.0,6.8e-08,4.7e-08,0.6897517680568589
1200.0,33000.0,2200.0,1200.0,2700.0,4700.0,1.5e-08,4.7e-08,0.37787960663762393
10000.0,39000.0,33000.0,47000.0,1000.0,5600.0,1e-08,1.5e-08,4.581319513061852
15000.0,39000.0,18000.0,18000.0,2700.0,3900.0,1e-07,3.3e-08,0.5190640348433323
39000.0,2200.0,33000.0,2700.0,39000.0,22000.0,2.2e-08,1.5e-08,1.0919739782461153
6800.0,15000.0,39000.0,33000.0,1500.0,3900.0,3.3e-08,3.3e-08,1.9600532686269423
2200.0,1800.0,1000.0,3300.0,22000.0,22000.0,6.8e-08,3.3e-08,3.35608394964703
2200.0,39000.0,1800.0,2700.0,18000.0,39000.0,4.7e-08,1e-08,1.012920600930648
27000.0,22000.0,1800.0,1500.0,18000.0,2200.0,4.7e-08,4.7e-08,1.2793952337505794
1000.0,47000.0,12000.0,22000.0,12000.0,8200.0,1e-07,1e-08,0.9776522134568681
22000.0,12000.0,3900.0,18000.0,10000.0,8200.0,4.7e-08,1e-07,2.42782546777232
33000.0,1800.0,12000.0,2200.0,4700.0,18000.0,1e-07,1.5e-08,1.5842019258486502
1500.0,5600.0,39000.0,27000.0,12000.0,4700.0,1.5e-08,1e-08,0.4792277454407238
1000.0,33000.0,22000.0,1800.0,22000.0,1000.0,3.3e-08,6.8e-08,1.898080677568688
3300.0,6800.0,12000.0,8200.0,1800.0,2200.0,3.3e-08,6.8e-08,2.0598048460815805
33000.0,4700.0,4700.0,27000.0,12000.0,33000.0,2.2e-08,4.7e-08,1.4380167283322676
4700.0,10000.0,3300.0,12000.0,27000.0,27000.0,3.3e-08,1.5e-08,1.548117112939725
8200.0,27000.0,27000.0,18000.0,4700.0,5600.0,4.7e-08,2.2e-08,0.6374820259410527
10000.0,2200.0,1800.0,3900.0,15000.0,2700.0,1e-08,1.5e-08,1.9892212759657868
22000.0,10000.0,6800.0,27000.0,39000.0,1200.0,1.5e-08,3.3e-08,0.7083098948841186
47000.0,1000.0,1500.0,2200.0,18000.0,39000.0,3.3e-08,1e-08,2.7973773209212855
1500.0,4700.0,3900.0,8200.0,1500.0,39000.0,1e-08,6.8e-08,1.8337297517584275
10000.0,10000.0,39000.0,47000.0,22000.0,5600.0,6.8e-08,4.7e-08,2.2339744151726104
1200.0,2700.0,47000.0,18000.0,15000.0,1000.0,1.5e-08,1e-07,1.0824828354986797
22000.0,5600.0,3300.0,1200.0,39000.0,22000.0,4.7e-08,6.8e-08,1.0242977018178177
3900.0,39000.0,2700.0,1200.0,8200.0,3900.0,6.8e-08,1e-08,0.8990864542625912
2700.0,1500.0,4700.0,10000.0,8200.0,10000.0,3.3e-08,4.7e-08,2.6847509689910316
3300.0,22000.0,1000.0,1500.0,1500.0,27000.0,2.2e-08,6.8e-08,2.60760272832364
27000.0,33000.0,8200.0,8200.0,4700.0,3900.0,4.7e-08,1.5e-08,0.5866241601445774
15000.0,10000.0,33000.0,1000.0,4700.0,2700.0,3.3e-08,4.7e-08,1.2809982243226976
1800.0,27000.0,1500.0,22000.0,5600.0,6800.0,1e-08,1e-07,1.9770582749214316
22000.0,4700.0,27000.0,33000.0,4700.0,15000.0,3.3e-08,4.7e-08,1.8206155257628436
18000.0,3900.0,6800.0,15000.0,15000.0,33000.0,1e-07,1e-08,2.986477589098304
18000.0,1800.0,4700.0,1500.0,10000.0,47000.0,1e-07,1.5e-08,1.1629103114703738
3900.0,6800.0,12000.0,8200.0,22000.0,27000.0,1e-08,6.8e-08,1.586723087748856
4700.0,3900.0,5600.0,1500.0,10000.0,6800.0,1e-08,4.7e-08,2.207445058261522
2700.0,18000.0,6800.0,8200.0,3300.0,33000.0,2.2e-08,1.5e-08,1.1369605469209576
3300.0,18000.0,3300.0,3900.0,3900.0,4700.0,1.5e-08,1.5e-08,0.7072372219658557
3300.0,3900.0,39000.0,8200.0,2200.0,1800.0,1e-08,1e-08,2.8135414550795184
18000.0,39000.0,1000.0,27000.0,1200.0,18000.0,2.2e-08,4.7e-08,2.5307493355889408
6800.0,18000.0,33000.0,4700.0,18000.0,2700.0,1e-07,4.7e-08,1.0416077352640505
4700.0,10000.0,3900.0,33000.0,2200.0,1200.0,4.7e-08,1e-07,3.2272894549259274
12000.0,18000.0,27000.0,1200.0,22000.0,8200.0,3.3e-08,1e-07,1.020647924665709
2700.0,15000.0,1800.0,22000.0,15000.0,6800.0,6.8e-08,1e-08,0.7137743047248527
1000.0,3300.0,10000.0,33000.0,1800.0,6800.0,2.2e-08,4.7e-08,2.6423293088277444
4700.0,2700.0,27000.0,4700.0,3900.0,4700.0,3.3e-08,4.7e-08,2.105624575632054
6800.0,8200.0,2700.0,18000.0,12000.0,3300.0,3.3e-08,6.8e-08,1.9587770760415535
8200.0,8200.0,10000.0,4700.0,15000.0,2700.0,4.7e-08,1.5e-08,0.877320286692282
33000.0,3900.0,1800.0,4700.0,3900.0,27000.0,3.3e-08,1e-07,1.1545991284904127
10000.0,3300.0,2200.0,2200.0,18000.0,1000.0,1.5e-08,3.3e-08,0.7562502207499169
18000.0,2200.0,47000.0,22000.0,27000.0,6800.0,1e-07,3.3e-08,1.3893935946354363
5600.0,4700.0,27000.0,33000.0,1200.0,10000.0,1e-08,6.8e-08,2.126699409059906
2700.0,1200.0,3300.0,4700.0,18000.0,47000.0,1e-08,3.3e-08,1.3979674523693377
